period,weighted_avg_price,total_transacted_quantity,total_std_qty,total_tx_qty,avg_std_price,num_trades,lag_1,lag_2,lag_3,lag_4,month,year,target_1,target_2
2013-07,5.2,20.0,1230.0,1230.0,3469.918699186992,123.0,6.0,3.8000000000000003,1.6,3.4000000000000004,7,2013,2.8,5.2
2013-07,2.8,30.0,1230.0,1230.0,3469.918699186992,123.0,5.2,6.0,3.8000000000000003,1.6,7,2013,5.2,2.0
2013-07,5.2,20.0,1230.0,1230.0,3469.918699186992,123.0,2.8,5.2,6.0,3.8000000000000003,7,2013,2.0,5.2
2013-07,2.0,20.0,1230.0,1230.0,3469.918699186992,123.0,5.2,2.8,5.2,6.0,7,2013,5.2,3.4000000000000004
2013-07,5.2,20.0,1230.0,1230.0,3469.918699186992,123.0,2.0,5.2,2.8,5.2,7,2013,3.4000000000000004,1.6
2013-07,3.4000000000000004,0.0,1230.0,1230.0,3469.918699186992,123.0,5.2,2.0,5.2,2.8,7,2013,1.6,1.6
2013-07,1.6,20.0,1230.0,1230.0,3469.918699186992,123.0,3.4000000000000004,5.2,2.0,5.2,7,2013,1.6,6.0
2013-07,1.6,20.0,1230.0,1230.0,3469.918699186992,123.0,1.6,3.4000000000000004,5.2,2.0,7,2013,6.0,3.8
2013-07,6.0,20.0,1230.0,1230.0,3469.918699186992,123.0,1.6,1.6,3.4000000000000004,5.2,7,2013,3.8,1.6
2013-07,3.8,0.0,1230.0,1230.0,3469.918699186992,123.0,6.0,1.6,1.6,3.4000000000000004,7,2013,1.6,2.0
2013-07,1.6,40.0,1230.0,1230.0,3469.918699186992,123.0,3.8,6.0,1.6,1.6,7,2013,2.0,1.6
2013-07,2.0,20.0,1230.0,1230.0,3469.918699186992,123.0,1.6,3.8,6.0,1.6,7,2013,1.6,2.8
2013-07,1.6,20.0,1230.0,1230.0,3469.918699186992,123.0,2.0,1.6,3.8,6.0,7,2013,2.8,2.2
2013-07,2.8,20.0,1230.0,1230.0,3469.918699186992,123.0,1.6,2.0,1.6,3.8,7,2013,2.2,1.6
2013-07,2.2,0.0,1230.0,1230.0,3469.918699186992,123.0,2.8,1.6,2.0,1.6,7,2013,1.6,5.2
